2024-05-29 09:09:12,913 | INFO | ulauncher: main() | Ulauncher version 5.15.7
2024-05-29 09:09:12,913 | INFO | ulauncher: main() | Extension API version 2.0.0
2024-05-29 09:09:12,913 | INFO | ulauncher: main() | GTK+ 3.24.42
2024-05-29 09:09:12,913 | INFO | ulauncher: main() | Is Wayland: False
2024-05-29 09:09:12,913 | INFO | ulauncher: main() | Wayland compatibility: off
2024-05-29 09:09:12,942 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2024-05-29 09:09:12,946 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2024-05-29 09:09:12,946 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2024-05-29 09:09:12,947 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2024-05-29 09:09:12,948 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2024-05-29 09:09:12,949 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2024-05-29 09:09:12,949 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2024-05-29 09:09:12,949 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2024-05-29 09:09:12,949 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2024-05-29 09:09:12,949 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2024-05-29 09:09:12,953 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2024-05-29 09:09:12,953 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 3440, H: 1440
2024-05-29 09:09:13,042 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2024-05-29 09:09:13,067 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2024-05-29 09:09:13,074 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2024-05-29 09:09:13,153 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 35 apps in cache
2024-05-29 09:09:13,156 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/m0n4rch/.local/share/applications/discord-455712169795780630.desktop": constructor returned NULL
2024-05-29 09:09:13,158 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/kcm_netpref.desktop": constructor returned NULL
2024-05-29 09:09:13,174 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/kcm_proxy.desktop": constructor returned NULL
2024-05-29 09:09:13,188 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 35 apps in the system
2024-05-29 09:09:13,188 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.11 seconds
2024-05-29 09:09:13,199 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
2024-05-29 09:09:13,214 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary>space
